epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,157.898,0.92144,2.32227,1.38347,0.94946,0.38701,0.41872,0.26485,1.79218,2.42874,1.59148,1.11965e-05,1.11965e-05,1.11965e-05
40,161.64,0.94114,1.40341,1.41132,0.94946,0.38701,0.41872,0.26485,1.79218,2.42874,1.59148,1.05722e-05,1.05722e-05,1.05722e-05
41,165.839,0.92047,1.48282,1.27921,0.94899,0.38653,0.41848,0.26472,1.7806,2.45752,1.59339,9.9008e-06,9.9008e-06,9.9008e-06
42,170.164,0.69551,0.92933,1.09468,0.94899,0.38653,0.41848,0.26472,1.7806,2.45752,1.59339,9.18228e-06,9.18228e-06,9.18228e-06
43,174.23,0.75092,1.2465,1.30165,0.94524,0.38333,0.41608,0.26345,1.77926,2.43969,1.59715,8.41663e-06,8.41663e-06,8.41663e-06
44,183.323,0.67196,0.79564,1.08345,0.94524,0.38333,0.41608,0.26345,1.77926,2.43969,1.59715,7.60386e-06,7.60386e-06,7.60386e-06
45,189.548,0.63831,0.87031,1.08939,0.94455,0.38333,0.41634,0.26362,1.76819,2.44993,1.58797,6.74397e-06,6.74397e-06,6.74397e-06
46,196.536,0.78572,1.03453,1.19508,0.94455,0.38333,0.41634,0.26362,1.76819,2.44993,1.58797,5.83695e-06,5.83695e-06,5.83695e-06
47,202.166,0.67014,0.78926,1.13265,0.94386,0.38333,0.41699,0.2639,1.72479,2.3703,1.53767,4.88281e-06,4.88281e-06,4.88281e-06
48,208.148,0.63332,0.91351,1.07616,0.94386,0.38333,0.41699,0.2639,1.72479,2.3703,1.53767,3.88154e-06,3.88154e-06,3.88154e-06
49,214.126,0.56958,0.94584,1.01069,0.94276,0.38333,0.41755,0.27241,1.74251,2.44045,1.56514,2.83315e-06,2.83315e-06,2.83315e-06
50,219.777,0.74193,1.08659,1.18867,0.94276,0.38333,0.41755,0.27241,1.74251,2.44045,1.56514,1.73764e-06,1.73764e-06,1.73764e-06
